mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
3.9019036889076233,0.49846736986247503,0.04941987991333008,0.020186138253408936,0.6,3,100,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.6}",0.927550717815767,0.9293239063109029,0.9240435483844034,0.922535047440014,0.9258633049877718,0.0027024033733627317,51
4.412657916545868,0.2535366598309878,0.04891842603683472,0.01566446001928055,0.6,3,100,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9287072950241164,0.9298263176839532,0.9248184423496912,0.9254421810308239,0.9271985590221462,0.0021172635010339555,28
4.3725199699401855,0.0545172230550875,0.06397002935409546,0.02202307366059884,0.6,3,100,1.0,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9288261529884461,0.9322179973600514,0.9247918102281972,0.9254442540175779,0.9278200536485681,0.002965165546420257,18
7.721854329109192,0.1510602061494504,0.07626235485076904,0.02235907395742077,0.6,3,200,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.6}",0.9291356441623932,0.9308294705240574,0.9244403813904063,0.9224316572256516,0.9267092883256272,0.003402542082878698,34
6.1354551911354065,0.19956950176226693,0.06422096490859985,0.03465177624288321,0.6,3,200,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9289663938746879,0.9318097917183833,0.9254910113854768,0.9245510270584081,0.927704556009239,0.0028848622008437975,19
6.170328140258789,0.05572960319665672,0.08479142189025879,0.021209642296298317,0.6,3,200,1.0,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9303556794364439,0.9333184366201863,0.9268398059753498,0.9259438438253239,0.929114441464326,0.002934318616394625,2
9.48392540216446,0.3406457607202617,0.0642210841178894,0.019905503397596676,0.6,3,300,0.6,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.6}",0.9282098183240187,0.9289248275692497,0.923554697799703,0.9209880234917769,0.9254193417961871,0.0032859043240083996,54
9.309809505939484,0.13419479759459935,0.06008124351501465,0.022959356950225076,0.6,3,300,0.8,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.9287763362484329,0.9314683823165709,0.9251253883467165,0.9238322476928953,0.9273005886511538,0.0030128566334760966,25
9.179182529449463,0.3103280318718805,0.03157085180282593,0.0020048495008231984,0.6,3,300,1.0,"{'colsample_bytree': 0.6, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.9303081938090484,0.9332576002172489,0.9262835833211402,0.9254311251014683,0.9288201256122265,0.0031553485974215255,7
3.789128363132477,0.035945584190856666,0.05845123529434204,0.021361357000107953,0.6,4,100,0.6,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.6}",0.9289765241418656,0.9302813670679682,0.9239444481009628,0.9220504867862354,0.926313206524258,0.003413991610482408,40
3.6369699835777283,0.12310055793274528,0.06146138906478882,0.018603356988964887,0.6,4,100,0.8,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",0.9297922121038505,0.9313162481220035,0.9252712459980559,0.9231096678516664,0.9273723435188941,0.0033164424509907735,24
3.653902769088745,0.18539798064632665,0.03762960433959961,0.014200010510031934,0.6,4,100,1.0,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",0.9302009914078067,0.9325382162305996,0.9264377041280134,0.9255066739520635,0.9286708964296209,0.0028415138935411525,9
7.108972609043121,0.14182205687751182,0.06472265720367432,0.020037742761282673,0.6,4,200,0.6,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.6}",0.9272015113898164,0.9270240138816406,0.9226285333843287,0.9197605274185032,0.9241536465185722,0.0031286560442131362,65
7.231338143348694,0.26467340264331196,0.05945432186126709,0.019859235087067637,0.6,4,200,0.8,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",0.9279091335755157,0.9299940280706592,0.9235325283580269,0.9221360550728088,0.9258929362692527,0.0031847169172831155,50
7.031901955604553,0.1360067008075069,0.04540592432022095,0.024797860745400954,0.6,4,200,1.0,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",0.9302479590101763,0.9318195520310174,0.9262288507125345,0.9250440524080994,0.9283351035404569,0.0027869210547810533,11
10.735589623451233,0.13833509289831872,0.06974011659622192,0.023517091025998315,0.6,4,300,0.6,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.6}",0.9241914694171263,0.9241169666652789,0.9210643209209222,0.9180187002983431,0.9218478643254175,0.0025454738099033956,81
10.717536926269531,0.32439365679518944,0.07300126552581787,0.014303596994728211,0.6,4,300,0.8,"{'colsample_bytree': 0.6, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",0.9262542162920253,0.9273654520749359,0.9212223285779593,0.9200035851154253,0.9237113955150865,0.003152831228576374,69
